"from","to","weight"
"HS3ST1","HSPG2",640
"SEMA3F","TNC",468
"CFTR","KCNJ11",553
"CFTR","SERPINA1",590
"CFTR","FLNC",520
"CFTR","VIM",432
"HSPB6","FLNC",417
"USH1C","KCNJ11",408
"USH1C","ABCC8",748
"RALA","FLNC",789
"BAIAP2L1","ACTN1",418
"BAIAP2L1","STEAP3",413
"CACNG3","GRIA4",869
"CACNG3","GRIN1",830
"CACNG3","GRIK2",628
"CACNG3","CACNA1A",815
"CACNG3","GRIA2",923
"CACNG3","GABRD",466
"DVL2","WNT7B",678
"SKAP2","ITGA5",900
"HOXA11","COL3A1",594
"HOXA11","HOXD10",432
"CX3CL1","TIMP1",450
"CX3CL1","MMP9",694
"CX3CL1","ICAM1",725
"CX3CL1","CCL2",831
"CX3CL1","PLAT",519
"CX3CL1","FN1",562
"PGLYRP1","MMP9",622
"CD74","ICAM1",488
"CD74","CD44",999
"CD74","FCGR2A",408
"CD74","CCL2",497
"CD74","FCGR2B",483
"CPA1","CCK",438
"SYPL1","SNAP25",459
"CD4","FCGR2B",842
"CD4","MMP9",701
"CD4","TIMP1",463
"CD4","SERPINA1",460
"CD4","SERPINE1",415
"CD4","CCK",488
"CD4","MSR1",468
"CD4","C1R",418
"CD4","HMOX1",519
"CD4","CD44",950
"CD4","THBS1",817
"CD4","VIM",404
"CD4","ICAM1",969
"CD4","CCL2",839
"CD4","PLAT",942
"CD4","SOCS3",712
"CD4","FN1",916
"CD4","FCGR2A",837
"CD4","F3",540
"CD4","SPP1",507
"XYLT2","HSPG2",550
"XYLT2","BGN",530
"SNAI2","FN1",800
"SNAI2","BGN",510
"SNAI2","COL1A2",410
"SNAI2","COL3A1",438
"SNAI2","ITGA5",438
"SNAI2","CD44",689
"SNAI2","VIM",885
"SNAI2","COL1A1",661
"SNAI2","COL5A2",606
"SNAI2","CCK",542
"SNAI2","COL6A3",477
"SNAI2","SERPINE1",523
"SNAI2","IGFBP3",574
"SNAI2","MMP9",725
"SNAI2","PLAU",450
"SNAI2","LUM",417
"SNAI2","ACTA2",413
"SLC7A9","SLC1A6",409
"AKAP11","MSN",409
"CDH17","CD44",531
"CDH17","MSN",448
"CDH17","ICAM1",600
"CDH17","FN1",804
"CDH17","MMP9",735
"CDH17","GRIA2",738
"CDH17","LAMC1",476
"B4GALT7","COL3A1",557
"B4GALT7","COL1A1",547
"B4GALT7","HSPG2",545
"B4GALT7","BGN",644
"B4GALT7","COL1A2",576
"B4GALT7","COL5A2",569
"B4GALT7","COL5A1",444
"CHPF2","BGN",495
"GABARAPL2","GABRA3",741
"GABARAPL2","GABRB3",674
"GABARAPL2","GRIA2",439
"GABARAPL2","GABRD",650
"MYOC","COL1A2",410
"MYOC","PLAT",542
"MYOC","FN1",777
"RTN4R","FN1",583
"LCP2","ICAM1",499
"LCP2","CD44",415
"LCP2","FCGR2A",514
"LCP2","PLAT",654
"DCN","COL5A1",573
"DCN","COL5A2",630
"DCN","COL6A3",657
"DCN","COL4A1",503
"DCN","SERPINE1",612
"DCN","C1R",584
"DCN","IGFBP3",402
"DCN","MMP9",713
"DCN","TIMP1",586
"DCN","IBSP",722
"DCN","COL6A2",628
"DCN","LUM",978
"DCN","ACTA2",537
"DCN","FN1",996
"DCN","PLAT",513
"DCN","CCL2",407
"DCN","BGN",989
"DCN","COL4A2",457
"DCN","SPP1",768
"DCN","COL1A2",930
"DCN","COL3A1",935
"DCN","CD44",523
"DCN","THBS1",854
"DCN","COL8A1",430
"DCN","COL1A1",923
"DCN","HSPG2",986
"TNFRSF17","FCGR2B",571
"TNFRSF17","FCGR2A",414
"GRN","HSPG2",907
"GRN","SERPINA1",460
"GRN","MMP9",585
"VAMP3","ACTN1",410
